Province/State,State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20
Alabama,AL,US,32.3182,-86.9023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,12,29,39,51,78,81,106,157,196,242,386,531,587,638,830,947,999,1106,1270,1535,1633,1841,2006,2197,2499,2838,"3,008"
Alaska,AK,US,61.3707,-152.4044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,6,9,9,9,22,36,42,59,69,69,69,114,119,133,143,147,157,171,185,191,213,226,235,246
American Samoa,AS,US,-14.271,-170.1322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,AZ,US,33.7298,-111.4312,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,6,9,9,9,12,13,18,20,27,44,44,63,152,253,326,401,508,665,665,919,1157,1289,1413,1598,1937,2236,2269,2456,2575,2726,3018,"3,112"
Arkansas,AR,US,34.9697,-92.3731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,12,16,22,22,37,64,62,100,164,197,230,306,349,381,386,443,504,560,614,679,738,743,853,915,993,1071,1127,"1,202"
California,CA,US,36.1162,-119.6816,0,0,0,0,2,2,2,2,2,3,3,3,6,6,6,6,6,6,6,6,7,7,8,8,8,8,8,8,8,8,10,10,10,10,10,10,11,11,12,12,21,25,35,51,59,81,95,101,144,177,221,282,340,426,557,698,652,982,995,1077,1709,1931,2511,2982,3777,3006,3801,5739,6909,8131,8155,9191,12500,13878,13438,14336,15865,16957,18309,"21,408"
Colorado,CO,US,39.0598,-105.3111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,7,7,15,34,45,49,101,131,160,160,216,277,277,363,591,720,921,1086,1430,1430,1734,2307,2627,2966,3342,3728,4173,4565,4950,5172,5429,5655,6202,"6,513"
Connecticut,CT,US,41.5978,-72.7554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,11,22,24,30,68,96,159,159,194,327,415,618,875,1012,1291,1291,1993,2571,3128,3557,3824,4914,5276,5675,6906,7781,8781,9784,"10,538"
Delaware,DE,US,39.3185,-75.5071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,6,7,8,16,26,30,30,39,56,87,104,119,143,163,163,232,264,319,368,393,450,593,673,783,928,1116,1209,"1,326"
District of Columbia,DC,US,38.8974,-77.0268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,10,10,10,10,16,22,22,39,71,39,71,116,137,183,231,267,267,267,401,495,495,586,653,757,902,998,1097,1211,1440,1523,"1,660"
Florida,FL,US,27.7663,-81.6868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,7,10,13,15,28,35,50,76,115,155,216,299,393,514,514,937,1141,1373,1861,2352,2892,3192,4768,5489,6490,7495,8694,10268,11545,11961,13214,14302,15234,16323,"17,968"
Georgia,GA,US,33.0406,-83.6431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,5,5,10,17,23,31,42,66,99,121,146,262,397,420,420,757,1015,1119,1441,1714,2001,2198,2703,3612,4585,4748,5486,5967,6383,6752,8634,9713,10446,11318,"11,859"
